customer_id,product_id,interaction_type,interaction_date
C8310,P9731,viewed,2024-09-07
C3893,P5530,purchased,2024-04-28
C6461,P6871,purchased,2024-09-09
C1273,P9247,purchased,2024-10-27
C8274,P7230,clicked,2024-11-19
C1827,P1948,purchased,2024-08-05
C5905,P2606,clicked,2024-09-17
C7186,P4872,clicked,2024-08-12
C5227,P2353,viewed,2024-01-28
C3946,P1248,clicked,2024-05-26
C8366,P2401,purchased,2024-06-03
C9694,P3620,purchased,2024-03-04
C1827,P9737,purchased,2024-07-04
C4251,P2796,purchased,2024-09-25
C8642,P1819,viewed,2024-02-26
C8366,P4789,purchased,2024-04-22
C1827,P7941,clicked,2024-03-04
C4616,P9077,purchased,2024-02-14
C5227,P3029,purchased,2024-07-23
C6310,P4578,purchased,2024-09-16
C5607,P1589,clicked,2024-09-27
C5860,P9391,clicked,2024-01-07
C7048,P6667,purchased,2024-07-10
C9338,P6966,viewed,2024-05-14
C7186,P8619,clicked,2024-03-14
C2447,P9747,purchased,2024-06-14
C6946,P8614,clicked,2024-10-18
C5227,P9225,purchased,2024-04-06
C5256,P4445,clicked,2024-05-09
C5227,P7367,purchased,2024-08-16
C6989,P7283,clicked,2024-03-17
C1166,P1202,purchased,2024-08-26
C3583,P9724,viewed,2024-10-22
C2389,P9731,viewed,2024-09-24
C2344,P9515,viewed,2024-11-21
C7048,P3492,viewed,2024-04-06
C7048,P7053,clicked,2024-03-23
C4616,P4128,purchased,2024-11-01
C7193,P7868,viewed,2024-01-24
C3946,P3176,purchased,2024-03-31
C8274,P2077,purchased,2024-09-04
C1413,P7931,clicked,2024-06-18
C4999,P4445,clicked,2024-10-04
C7435,P9149,purchased,2024-03-22
C9131,P6867,purchased,2024-02-27
C6105,P8082,purchased,2024-07-12
C9412,P4420,clicked,2024-01-23
C1827,P2149,clicked,2024-09-26
C9694,P8986,purchased,2024-06-04
C4883,P7730,purchased,2024-05-29
C5297,P9793,clicked,2024-08-12
C4940,P6787,viewed,2024-08-24
C3365,P9793,viewed,2024-10-01
C3893,P1089,clicked,2024-03-31
C3053,P7729,clicked,2024-07-13
C3497,P3319,clicked,2024-10-01
C3501,P1792,purchased,2024-07-03
C6461,P9193,viewed,2024-10-21
C4830,P2360,clicked,2024-09-29
C7193,P2766,viewed,2024-02-12
C1166,P2980,viewed,2024-06-20
C3763,P2766,viewed,2024-04-02
C8661,P7953,viewed,2024-10-27
C3555,P1294,purchased,2024-10-16
C8642,P7194,viewed,2024-07-14
C1140,P1505,clicked,2024-02-17
C7647,P2120,viewed,2024-03-01
C8274,P6606,clicked,2024-03-24
C3816,P1507,purchased,2024-09-03
C4940,P3764,purchased,2024-01-21
C9434,P6101,viewed,2024-12-11
C1140,P5065,purchased,2024-03-18
C3325,P6024,viewed,2024-06-28
C5715,P1761,clicked,2024-07-17
C3053,P9142,purchased,2024-05-14
C3365,P2392,viewed,2024-08-01
C4799,P3685,purchased,2024-01-27
C5256,P5605,viewed,2024-01-21
C5772,P5170,clicked,2024-12-10
C6652,P3014,clicked,2024-02-18
C4799,P1346,purchased,2024-12-15
C3583,P2142,viewed,2024-06-14
C3261,P1214,clicked,2024-09-08
C1413,P8093,clicked,2024-07-01
C7435,P3408,viewed,2024-11-28
C1438,P9724,viewed,2024-12-11
C4616,P4766,clicked,2024-01-31
C1464,P8151,viewed,2024-10-09
C4616,P7812,clicked,2024-02-04
C8901,P1608,purchased,2024-01-21
C8847,P1758,viewed,2024-01-26
C3565,P6989,clicked,2024-08-17
C8433,P8374,clicked,2024-07-11
C3816,P8810,clicked,2024-08-16
C5310,P8053,purchased,2024-07-31
C3583,P9077,clicked,2024-09-24
C3946,P9534,purchased,2024-06-06
C2447,P7812,clicked,2024-04-20
C3896,P8999,purchased,2024-02-01
C2886,P7367,clicked,2024-04-22
C5567,P5781,viewed,2024-12-07
C1648,P9863,viewed,2024-09-20
C4883,P7638,viewed,2024-09-23
C6989,P4242,purchased,2024-03-20
C5860,P1388,purchased,2024-10-03
C1140,P7740,purchased,2024-08-20
C4802,P2670,viewed,2024-05-31
C3555,P3620,viewed,2024-05-20
C5568,P2992,purchased,2024-05-12
C5118,P6432,purchased,2024-07-24
C5715,P3029,purchased,2024-07-23
C8642,P1589,viewed,2024-06-29
C5961,P3602,clicked,2024-03-20
C5912,P4622,clicked,2024-10-18
C5297,P6234,purchased,2024-08-29
C4999,P3787,purchased,2024-11-20
C9535,P9731,viewed,2024-03-18
C1438,P1388,clicked,2024-02-26
C5297,P6079,clicked,2024-04-01
C6946,P3200,clicked,2024-12-08
C1827,P8754,viewed,2024-11-07
C7348,P1952,clicked,2024-05-25
C3565,P5654,viewed,2024-01-24
C5118,P9428,purchased,2024-03-30
C2886,P6593,purchased,2024-03-30
C6652,P2379,clicked,2024-03-02
C1464,P5107,clicked,2024-06-28
C4935,P7822,viewed,2024-07-03
C7048,P8739,viewed,2024-12-14
C7186,P7931,purchased,2024-07-19
C6652,P3669,viewed,2024-05-29
C3565,P7603,clicked,2024-02-23
C5568,P2146,viewed,2024-07-05
C8310,P1372,clicked,2024-10-11
C7193,P9874,purchased,2024-11-07
C9653,P1382,viewed,2024-04-09
C1464,P9163,viewed,2024-05-29
C7318,P5032,clicked,2024-06-22
C3893,P1004,clicked,2024-06-07
C6461,P5832,viewed,2024-08-18
C4883,P5210,clicked,2024-09-07
C9338,P1152,purchased,2024-05-17
C9338,P9239,purchased,2024-09-02
C8847,P3817,viewed,2024-07-14
C3261,P4118,viewed,2024-01-18
C5567,P9729,purchased,2024-08-13
C6862,P5276,viewed,2024-11-11
C9615,P8713,viewed,2024-03-25
C5256,P9874,clicked,2024-11-27
C3763,P3701,clicked,2024-11-27
C3565,P3685,clicked,2024-08-14
C1464,P7132,clicked,2024-04-11
C7048,P9874,viewed,2024-05-07
C7318,P8793,viewed,2024-01-06
C4616,P9969,viewed,2024-06-24
C5860,P2704,purchased,2024-03-05
C6862,P3393,purchased,2024-05-06
C7647,P2257,clicked,2024-01-13
C6946,P8093,clicked,2024-10-10
C3793,P6432,purchased,2024-04-30
C7048,P5605,viewed,2024-05-16
C1627,P5530,clicked,2024-11-30
C4802,P7283,viewed,2024-10-04
C3816,P5294,clicked,2024-05-10
C1304,P6553,purchased,2024-05-05
C2344,P7938,viewed,2024-04-13
C5860,P6514,purchased,2024-09-04
C3053,P2575,purchased,2024-01-31
C9338,P5211,viewed,2024-12-04
C5568,P5154,viewed,2024-01-18
C5458,P8575,clicked,2024-08-02
C6606,P2747,purchased,2024-06-27
C3746,P2189,purchased,2024-04-09
C2447,P1507,purchased,2024-06-26
C4830,P5742,clicked,2024-12-15
C2389,P7910,viewed,2024-05-11
C1140,P7542,clicked,2024-09-28
C8619,P8415,viewed,2024-02-13
C1627,P9949,purchased,2024-09-15
C6310,P5210,viewed,2024-04-27
C9653,P8123,viewed,2024-01-23
C1827,P7635,viewed,2024-02-17
C1273,P8443,clicked,2024-03-07
C4616,P5605,clicked,2024-09-22
C1464,P2146,clicked,2024-06-15
C9339,P9287,clicked,2024-04-27
C3365,P7230,viewed,2024-06-26
C1673,P7143,purchased,2024-06-14
C1413,P1089,viewed,2024-06-02
C1304,P1553,viewed,2024-06-07
C1166,P2824,clicked,2024-04-27
C4999,P9505,purchased,2024-05-07
C3946,P3650,clicked,2024-08-03
C3946,P5766,purchased,2024-08-09
C5905,P1229,purchased,2024-02-06
C5715,P2189,purchased,2024-08-08
C3261,P9949,viewed,2024-01-24
C7647,P6514,purchased,2024-11-22
C6989,P6230,viewed,2024-03-15
C9412,P1372,viewed,2024-01-08
C5297,P7135,viewed,2024-10-22
C3816,P5362,purchased,2024-01-22
